objectid,filename,youtubeid,title,creator,date,year,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
demo_001,gif3.gif,,Cultura digital,Laura Mª Pérez,2023,2023,Gif de portada,Diapositiva;Interpretación-Imágen;Portada,,,,Biblioteca General Alfonso Borrero Cabal S.J. servicios especiales ,G1-23-1-009,Image;MovingImage,image/gif,N/A,Digitalización: Laura Mª Pérez ,https://www.oas.org/dil/esp/codigo_civil_colombia.pdf
demo_021,Virgen_de_la_lira_DEL_SARTO_ANDREA_001.png,,Virgen de la lira (Virgen de las arpías),Andrea del Sarto,1517,1517,Diapositiva P50 2-1. Temple sobre tabla: Virgen de la lira por Andrea del Sarto,Diapositiva;Interpretación-Imágen;Arte,"Italia, Florencia",43.7677894,11.2527359,Biblioteca General Alfonso Borrero Cabal S.J. servicios especiales ,G2- 23-1- 006,Image;StillImage,image/png ,N/A,"Digitalización: Laura Ibagón Avila, Rebeca Torres Sepulveda, Juanita Urueña Barreto",https://www.oas.org/dil/esp/codigo_civil_colombia.pdf
demo_023,La_bella_TIZIANO_001.png,,La bella,Tiziano,1536,1536,Diapositiva P50 2-1. Pintura: La bella por Tiziano,Diapositiva;Interpretación-Imágen;Arte,"Italia, Florencia",43.7651571,11.2474332,Biblioteca General Alfonso Borrero Cabal S.J. servicios especiales ,G2- 23-1- 019,Image;StillImage,image/png ,N/A,"Digitalización: Laura Ibagón Avila, Rebeca Torres Sepulveda, Juanita Urueña Barreto",https://www.oas.org/dil/esp/codigo_civil_colombia.pdf
demo_117,Tumba_de_Dario_PERSEPOLIS_001.png,,"Tumba de Dario, PERSEPOLIS",,522 BC,-522,Diapositiva A08. Fotografía Tumba de Darío en Persépolis,Diapositiva;Interpretación-Imágen;Arquitectura,"Irán, Naqsh-e Rostam",29.9886515,52.8746126,Biblioteca General Alfonso Borrero Cabal S.J. servicios especiales,G2- 23-1- 007,Image;StillImage,image/png,Español,"Digitalización: Laura Ibagón Avila, Rebeca Torres Sepulveda, Juanita Urueña Barreto",https://www.oas.org/dil/esp/codigo_civil_colombia.pdf
demo_002_23,,,,,,,,,,,,,,,,,"Digitalización: Triviño Moreno,Nicole",https://www.oas.org/dil/esp/codigo_civil_colombia.pdf
demo_003_23,,,,,,,,,,,,,,,,,"Digitalización: diaz pachon,laura juliana",https://www.oas.org/dil/esp/codigo_civil_colombia.pdf
demo_004_23,,,,,,,,,,,,,,,,,"Digitalización: Soler de la Fuente,Andrea",https://www.oas.org/dil/esp/codigo_civil_colombia.pdf
demo_005_23,,,Explosión,"Lichtenstein, Roy",1965,1965,,Diapositiva;Interpretación-Imágen;Arte,"Colonia, Alemania","50.9408574,6","9576561,17",Biblioteca General Alfonso Borrero Cabal S.J. servicios especiales,,Image;MovingImage,image/gif,Español,"Digitalización: Ruiz Díaz,Nicolás",https://www.oas.org/dil/esp/codigo_civil_colombia.pdf
demo_006_23,,,,,,,,Diapositiva;Interpretación-Imágen;Arte,,,,,,,,,"Digitalización: Montenegro Vanegas,Valeria",https://www.oas.org/dil/esp/codigo_civil_colombia.pdf
demo_007_23,,,,,,,,,,,,,,,,,"Digitalización: manotas velez,sofia margarita",https://www.oas.org/dil/esp/codigo_civil_colombia.pdf
demo_008_23,,,El mar de hielo ,Caspar David Friedrich,1824,1824,,Diapositiva;Interpretación-Imágen;Arte,"ciudad, pais ",53.5555143,9.9999709,Biblioteca General Alfonso Borrero Cabal S.J. servicios especiales,P64 FRIEDRICH 2-1 Wreek of hope ,Image;MovingImage,image/gif,N/A,"Digitalización: Monroy Vives,Margarita Rosa",https://www.oas.org/dil/esp/codigo_civil_colombia.pdf
demo_009_23,,,,,,,,,,,,,,,,,"Digitalización: Henao Farfan,Natalia",https://www.oas.org/dil/esp/codigo_civil_colombia.pdf
demo_010_23,,,,,,,,,,,,,,,,,"Digitalización: Gutiérrez Rojas,Juan Daniel",https://www.oas.org/dil/esp/codigo_civil_colombia.pdf
